"repo_name","force_build","dependencies","build_vignettes","build_manuals"
"r-dbi/DBI",FALSE,TRUE,TRUE,TRUE
"r-dbi/odbc",FALSE,TRUE,TRUE,TRUE
"r-dbi/RMariaDB",FALSE,TRUE,TRUE,TRUE
"r-dbi/RPostgres",FALSE,TRUE,TRUE,TRUE
"r-dbi/RSQLite",FALSE,TRUE,TRUE,TRUE
"tidyverse/dbplyr",FALSE,TRUE,TRUE,TRUE
"rstudio/pool",FALSE,TRUE,TRUE,TRUE
"tidyverse/tidyverse",FALSE,TRUE,TRUE,TRUE
"RcppCore/Rcpp",FALSE,TRUE,TRUE,TRUE
"Rdatatable/data.table",FALSE,TRUE,TRUE,TRUE
"rich-iannone/DiagrammeR",FALSE,TRUE,TRUE,TRUE
"yihui/knitr",FALSE,TRUE,TRUE,TRUE
"rstudio/rmarkdown",FALSE,TRUE,TRUE,TRUE
"quarto-dev/quarto-r",FALSE,TRUE,TRUE,TRUE
"rstudio/renv",FALSE,TRUE,TRUE,TRUE
